Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
32,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
33,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
34,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
35,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
36,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
37,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
38,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
39,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
40,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
41,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
42,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
43,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
44,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
45,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
46,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
47,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
48,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
49,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
50,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
51,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
52,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
53,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
54,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
55,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
56,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
57,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
58,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
59,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
60,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
61,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
62,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
63,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
64,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
65,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
66,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
67,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
68,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
69,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
70,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
71,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
72,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
73,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
74,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
75,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
76,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
77,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
78,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
79,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
80,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
81,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
82,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
83,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
84,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
85,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
86,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
87,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
88,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
89,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
90,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
91,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
92,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
93,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
94,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
95,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
96,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
97,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
98,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
99,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
100,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
101,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
102,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
103,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
104,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
105,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
106,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
107,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
108,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
109,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
110,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
111,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
112,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
113,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
114,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
115,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
116,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
117,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
118,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
119,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
120,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
121,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
122,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
123,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
124,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
125,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
126,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
127,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
128,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
129,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
130,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
131,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
132,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
133,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
134,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
135,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
136,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
137,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
138,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
139,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
140,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
141,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
142,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
143,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
144,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
145,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
146,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
147,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
148,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
149,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
150,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
151,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
152,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
153,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
154,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
155,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
156,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
157,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
158,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
159,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
160,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
161,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
162,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
163,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
164,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
165,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
166,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
167,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
168,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
169,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
170,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
171,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
172,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
173,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
174,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
175,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
176,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
177,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
178,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
179,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
180,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
181,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
182,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
183,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
184,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
185,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
186,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
187,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
188,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
189,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
190,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
191,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
192,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
193,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
194,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
195,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
196,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
197,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
198,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
199,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
200,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
201,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
202,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
203,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
204,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
205,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
206,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
207,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
208,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
209,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
210,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
211,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
212,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
213,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
214,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
215,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
216,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
217,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
218,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
219,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
220,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
221,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
222,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
223,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
224,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
225,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
226,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
227,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
228,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
229,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
230,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
231,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
232,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
233,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
234,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
235,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
236,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
237,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
238,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
239,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
240,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
241,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
242,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
243,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
244,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
245,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
246,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
247,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
248,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
249,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
250,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
251,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
252,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
253,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
254,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
255,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
256,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
257,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
258,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
259,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
260,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
261,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
262,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
263,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
264,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
265,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
266,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
267,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
268,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
269,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
270,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
271,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
272,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
273,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
274,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
275,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
276,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
277,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
278,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
279,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
280,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
281,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
282,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
283,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
284,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
285,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
286,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
287,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
288,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
289,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
290,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
291,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
292,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
293,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
294,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
295,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
296,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
297,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
298,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
299,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
300,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
301,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
302,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
303,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
304,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
305,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
306,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
307,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
308,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
309,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
310,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
311,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
312,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
313,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
314,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
315,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
316,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
317,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
318,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
319,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
320,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
321,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
322,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
323,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
324,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
325,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
326,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
327,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
328,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
329,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
330,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
331,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
332,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
333,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
334,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
335,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
336,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
337,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
338,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
339,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
340,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
341,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
342,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
343,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
344,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
345,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
346,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
347,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
348,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
349,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
350,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
351,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
352,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
353,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
354,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
355,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
356,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
357,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
358,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
359,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
360,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
361,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
362,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
363,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
